User ID,Food Name,"Cuisine Type	",Dietary Restrictions,Flavor Profiles,Allergies,Time of Day,Occasion,Budget
124,Asian Cuisine,Thai,None,Savory,None,Lunch,Casual,Moderate
125,Russian Cuisine,Russian,None,Creamy,None,Dinner,Casual,Moderate
126,Asian Cuisine,Thai,None,Meaty,None,Dinner,Casual,Moderate
127,Russian Cuisine,Russian,None,Tangy,None,Lunch,Casual,Moderate
128,Indian Cuisine,Indian,None,Spicy,None,Dinner,Casual,Moderate
129,Italian Cuisine,Italian,None,Savory,None,Dinner,Casual,Moderate
130,Russian Cuisine,Russian,None,Creamy,None,Dinner,Casual,Moderate
131,Indian Cuisine,Indian,None,Spicy,None,Dinner,Casual,Moderate
132,Indian Cuisine,Indian,None,Spicy,None,Lunch,Casual,Moderate
133,Indian Cuisine,Indian,None,Spicy,None,Lunch,Casual,Moderate
134,Indian Cuisine,Indian,None,Spicy,None,Dinner,Casual,Moderate
135,Asian Cuisine,Chinese,None,Umami,None,Dinner,Special,Moderate
136,Asian Cuisine,Chinese,None,Spicy,Peanuts,Lunch,Casual,Moderate
137,Asian Cuisine,Chinese,None,Savory,None,Dinner,Casual,Moderate
138,Asian Cuisine,Chinese,None,Spicy,None,Dinner,Special,Moderate
139,Asian Cuisine,Chinese,None,Savory,Shellfish,Lunch,Casual,Moderate
140,Russian Cuisine,Russian,None,Creamy,Dairy,Dinner,Formal,Expensive
141,Asian Cuisine,Indonesian,None,Umami,None,Dinner,Special,Moderate
142,Asian Cuisine,Chinese,None,Spicy,Peanuts,Lunch,Casual,Moderate
143,Asian Cuisine,Chinese,None,Savory,None,Dinner,Casual,Moderate
144,Indian Cuisine,Indian,None,Spicy,None,Dinner,Special,Moderate
145,Asian Cuisine,Chinese,None,Crispy,None,Dinner,Formal,Expensive
146,Asian Cuisine,Chinese,None,Savory,None,Dinner,Casual,Moderate
147,Italian Cuisine,Italian,None,Savory,None,Lunch,Casual,Moderate
148,Asian Cuisine,Chinese,None,Spicy,None,Dinner,Casual,Moderate
149,Russian Cuisine,Russian,None,Savory,Eggs,Lunch,Casual,Moderate
150,Russian Cuisine,Russian,None,Umami,None,Lunch,Casual,Moderate
151,Russian Cuisine,Russian,None,Tangy,None,Lunch,Casual,Moderate
152,Russian Cuisine,Russian,None,Creamy,Dairy,Dinner,Formal,Expensive
153,Asian Cuisine,Chinese,None,Savory,None,Dinner,Casual,Moderate
154,Asian Cuisine,Chinese,None,"Sweet, Spicy",None,Dinner,Casual,Moderate
155,Russian Cuisine,Russian,None,Savory,None,Breakfast,Casual,Moderate
156,Russian Cuisine,Russian,Vegetarian,Umami,None,Lunch,Casual,Moderate
157,Asian Cuisine,Chinese,None,Savory,None,Dinner,Casual,Moderate
158,Asian Cuisine,Indonesian,None,Refreshing,None,Lunch,Casual,Moderate
159,Russian Cuisine,Russian,None,Savory,None,Dinner,Casual,Moderate
160,Russian Cuisine,Russian,Vegetarian,Spicy,None,Dinner,Casual,Moderate
161,Asian Cuisine,Indonesian,None,Savory,None,Lunch,Casual,Moderate
162,Asian Cuisine,Indonesian,None,Umami,None,Dinner,Special,Moderate
163,Asian Cuisine,Chinese,None,"Sweet, Spicy",None,Dinner,Casual,Moderate
164,Asian Cuisine,Indonesian,None,Savory,None,Dinner,Casual,Moderate
165,Indian Cuisine,Indian,None,Spicy,None,Dinner,Special,Moderate
166,Asian Cuisine,Chinese,None,Spicy,Peanuts,Lunch,Casual,Moderate
167,Russian Cuisine,Russian,None,Creamy,Dairy,Dinner,Formal,Expensive
168,Asian Cuisine,Indonesian,None,Savory,None,Dinner,Casual,Moderate
169,Asian Cuisine,Chinese,None,Savory,Shellfish,Lunch,Casual,Moderate
170,Russian Cuisine,Russian,None,Savory,Eggs,Lunch,Casual,Moderate
171,Indian Cuisine,Indian,None,Savory,None,Lunch,Casual,Moderate
172,Indian Cuisine,Indian,None,"Sweet, Tangy",None,Dinner,Casual,Moderate
173,Russian Cuisine,Russian,None,Spicy,None,Dinner,Casual,Moderate
174,Russian Cuisine,Russian,None,Savory,None,Lunch,Casual,Moderate
175,Asian Cuisine,Thai,None,"Spicy, Sour",None,Dinner,Casual,Moderate
176,Russian Cuisine,Russian,None,"Sweet, Savory",None,Dinner,Casual,Moderate
177,Russian Cuisine,Russian,None,Crispy,None,Dinner,Formal,Expensive
178,Indian Cuisine,Indian,None,Spicy,None,Snack,Casual,Moderate
179,Indian Cuisine,Indian,None,Creamy,Dairy,Dinner,Casual,Moderate
180,Sri Lankan Cuisine,Sri Lankan,None,"Spicy, Savory",None,Lunch,Casual,Moderate
181,Sri Lankan Cuisine,Sri Lankan,None,Spicy,None,Dinner,Casual,Moderate
182,Sri Lankan Cuisine,Sri Lankan,None,"Crispy, Savory",None,Breakfast,Casual,Moderate
183,Sri Lankan Cuisine,Sri Lankan,Vegetarian,"Spicy, Tangy",None,Lunch,Casual,Moderate
184,Indian Cuisine,Indian,Vegetarian,Spicy,None,Breakfast,Casual,Moderate
185,Indian Cuisine,Indian,None,Spicy,None,Lunch,Casual,Moderate
186,Russian Cuisine,Russian,None,Savory,None,Dinner,Casual,Moderate
187,Asian Cuisine,Indonesian,None,Spicy,None,Dinner,Casual,Moderate
188,Russian Cuisine,Russian,None,Savory,None,Lunch,Casual,Moderate
189,Russian Cuisine,Russian,None,Savory,None,Snack,Casual,Moderate
190,Sri Lankan Cuisine,Sri Lankan,None,"Spicy, Sour",Fish,Dinner,Casual,Moderate
191,Russian Cuisine,Russian,None,"Spicy, Savory",None,Lunch,Special,Expensive
192,Asian Cuisine,Indonesian,None,Savory,None,Lunch,Casual,Moderate
193,Asian Cuisine,Thai,None,"Spicy, Sour",Peanuts,Lunch,Casual,Moderate
194,Asian Cuisine,Indonesian,None,Savory,None,Dinner,Casual,Moderate
195,Sri Lankan Cuisine,Sri Lankan,None,"Sweet, Creamy",Eggs,Dessert,Special,Moderate
196,Sri Lankan Cuisine,Sri Lankan,None,"Light, Savory",None,Breakfast,Casual,Moderate
197,Sri Lankan Cuisine,Sri Lankan,None,"Creamy, Savory",None,Breakfast,Special,Moderate
198,Asian Cuisine,Indonesian,None,"Spicy, Tangy",None,Lunch,Special,Expensive
199,Sri Lankan Cuisine,Sri Lankan,Vegetarian,"Fresh, Tangy",None,Lunch,Casual,Moderate
200,Indian Cuisine,Indian,None,Creamy,Dairy,Dinner,Casual,Moderate
201,Sri Lankan Cuisine,Sri Lankan,None,Spicy,None,Lunch,Casual,Moderate
202,Indian Cuisine,Indian,Vegetarian,Spicy,None,Breakfast,Casual,Moderate
203,Sri Lankan Cuisine,Sri Lankan,None,"Creamy, Savory",None,Breakfast,Special,Moderate
204,Sri Lankan Cuisine,Sri Lankan,Vegetarian,"Spicy, Savory",None,Dinner,Casual,Moderate
205,Indian Cuisine,Indian,None,Spicy,None,Snack,Casual,Moderate
206,Indian Cuisine,Indian,None,Spicy,None,Breakfast,Casual,Moderate
207,Indian Cuisine,Indian,Vegetarian,"Spicy, Tangy",Shellfish,Breakfast,Special,Expensive
208,Indian Cuisine,Indian,None,"Sweet, Crunchy",None,Snack,Casual,Moderate
209,Indian Cuisine,Indian,Vegetarian,Creamy,Dairy,Dinner,Casual,Moderate
210,Indian Cuisine,Indian,None,Smoky,None,Dinner,Casual,Moderate
211,Indian Cuisine,Indian,Vegetarian,Creamy,Nuts,Dinner,Special,Moderate
212,Indian Cuisine,Indian,Vegetarian,Sweet,Dairy,Dessert,Special,Moderate
